TILENAME,PATH,RA_CENT,DEC_CENT
DES1137+0252,DEC_Taiga/multiepoch/delve/r6101/DES1137+0252/p01/coadd,174.46765500,2.87218500
DES1008+0500,DEC_Taiga/multiepoch/delve/r6101/DES1008+0500/p01/coadd,152.20491400,5.01385200
DES1055+2500,DEC_Taiga/multiepoch/delve/r6101/DES1055+2500/p01/coadd,163.91546600,25.00274100
DES1019+2751,DEC_Taiga/multiepoch/delve/r6101/DES1019+2751/p01/coadd,154.81865500,27.85829600
DES1102-2124,DEC_Taiga/multiepoch/delve/r6101/DES1102-2124/p01/coadd,165.72793600,-21.40003700
DES1030-2415,DEC_Taiga/multiepoch/delve/r6101/DES1030-2415/p01/coadd,157.73357400,-24.25559300
DES1121+0543,DEC_Taiga/multiepoch/delve/r6101/DES1121+0543/p01/coadd,170.41971500,5.72774100
DES0924+1000,DEC_Taiga/multiepoch/delve/r6101/DES0924+1000/p01/coadd,141.17712900,10.01107400
DES0759+1834,DEC_Taiga/multiepoch/delve/r6101/DES0759+1834/p01/coadd,119.85224600,18.57774100
DES0748+0500,DEC_Taiga/multiepoch/delve/r6101/DES0748+0500/p01/coadd,117.08999200,5.01385200
DES0710+2208,DEC_Taiga/multiepoch/delve/r6101/DES0710+2208/p01/coadd,107.68920700,22.14718500
DES1142-0416,DEC_Taiga/multiepoch/delve/r6101/DES1142-0416/p03/coadd,175.57776100,-4.26670400
DES0807+2043,DEC_Taiga/multiepoch/delve/r6101/DES0807+2043/p01/coadd,121.84161000,20.71940700
DES0934+2126,DEC_Taiga/multiepoch/delve/r6101/DES0934+2126/p01/coadd,143.54427400,21.43329600
DES0858-0541,DEC_Taiga/multiepoch/delve/r6101/DES0858-0541/p01/coadd,134.53339100,-5.69448100
DES1126-0750,DEC_Taiga/multiepoch/delve/r6101/DES1126-0750/p01/coadd,171.54002400,-7.83614800
DES0957+1917,DEC_Taiga/multiepoch/delve/r6101/DES0957+1917/p01/coadd,149.47139200,19.29163000
DES1100-0250,DEC_Taiga/multiepoch/delve/r6101/DES1100-0250/p01/coadd,165.16816700,-2.83892600
DES0918+0835,DEC_Taiga/multiepoch/delve/r6101/DES0918+0835/p01/coadd,139.53430200,8.58329600
DES0824+0335,DEC_Taiga/multiepoch/delve/r6101/DES0824+0335/p01/coadd,126.01043400,3.58607400
DES1106-0958,DEC_Taiga/multiepoch/delve/r6101/DES1106-0958/p01/coadd,166.52377100,-9.97781500
DES1023-1832,DEC_Taiga/multiepoch/delve/r6101/DES1023-1832/p01/coadd,155.95556000,-18.54448100
DES0848+1126,DEC_Taiga/multiepoch/delve/r6101/DES0848+1126/p01/coadd,132.05023900,11.43885200
DES0831+1043,DEC_Taiga/multiepoch/delve/r6101/DES0831+1043/p01/coadd,127.88827900,10.72496300
DES1007+1709,DEC_Taiga/multiepoch/delve/r6101/DES1007+1709/p01/coadd,151.83336000,17.14996300
DES0803+2208,DEC_Taiga/multiepoch/delve/r6101/DES0803+2208/p03/coadd,120.79207100,22.14718500
DES1146+0500,DEC_Taiga/multiepoch/delve/r6101/DES1146+0500/p03/coadd,176.57036900,5.01385200
DES0908+1126,DEC_Taiga/multiepoch/delve/r6101/DES0908+1126/p01/coadd,137.14873400,11.43885200
DES0920+0709,DEC_Taiga/multiepoch/delve/r6101/DES0920+0709/p01/coadd,140.20121100,7.15551900
DES1140-1458,DEC_Taiga/multiepoch/delve/r6101/DES1140-1458/p01/coadd,175.12305200,-14.97503700
DES0851-0458,DEC_Taiga/multiepoch/delve/r6101/DES0851-0458/p01/coadd,132.84479300,-4.98059300
DES1030+1043,DEC_Taiga/multiepoch/delve/r6101/DES1030+1043/p01/coadd,157.67810100,10.72496300
DES1038+1543,DEC_Taiga/multiepoch/delve/r6101/DES1038+1543/p01/coadd,159.73989200,15.72218500
DES1134+2334,DEC_Taiga/multiepoch/delve/r6101/DES1134+2334/p01/coadd,173.59410300,23.57496300
DES0819-0915,DEC_Taiga/multiepoch/delve/r6101/DES0819-0915/p01/coadd,124.76368400,-9.26392600
DES1137+2334,DEC_Taiga/multiepoch/delve/r6101/DES1137+2334/p01/coadd,174.37300000,23.57496300
DES1103-0750,DEC_Taiga/multiepoch/delve/r6101/DES1103-0750/p01/coadd,165.77508100,-7.83614800
DES0830+0917,DEC_Taiga/multiepoch/delve/r6101/DES0830+0917/p01/coadd,127.67719300,9.29718500
DES1002+2834,DEC_Taiga/multiepoch/delve/r6101/DES1002+2834/p01/coadd,150.73706500,28.57218500
DES1004-0333,DEC_Taiga/multiepoch/delve/r6101/DES1004-0333/p01/coadd,151.03700000,-3.55281500
DES1143-1415,DEC_Taiga/multiepoch/delve/r6101/DES1143-1415/p01/coadd,175.75226500,-14.26114800
DES1054+0500,DEC_Taiga/multiepoch/delve/r6101/DES1054+0500/p01/coadd,163.67101100,5.01385200
DES0801-0750,DEC_Taiga/multiepoch/delve/r6101/DES0801-0750/p01/coadd,120.37615000,-7.83614800
DES0945+0126,DEC_Taiga/multiepoch/delve/r6101/DES0945+0126/p01/coadd,146.37355900,1.44440700
DES0813-1458,DEC_Taiga/multiepoch/delve/r6101/DES0813-1458/p01/coadd,123.39404300,-14.97503700
DES0800+2000,DEC_Taiga/multiepoch/delve/r6101/DES0800+2000/p01/coadd,120.12754500,20.00551900
DES0934-0250,DEC_Taiga/multiepoch/delve/r6101/DES0934-0250/p01/coadd,143.72518400,-2.83892600
DES1153+0543,DEC_Taiga/multiepoch/delve/r6101/DES1153+0543/p02/coadd,178.31189600,5.72774100
DES0858-1749,DEC_Taiga/multiepoch/delve/r6101/DES0858-1749/p01/coadd,134.72363500,-17.83059300
DES0804+2251,DEC_Taiga/multiepoch/delve/r6101/DES0804+2251/p01/coadd,121.08239600,22.86107400
DES1040+0209,DEC_Taiga/multiepoch/delve/r6101/DES1040+0209/p01/coadd,160.03776300,2.15829600
DES0813+1709,DEC_Taiga/multiepoch/delve/r6101/DES0813+1709/p01/coadd,123.44324600,17.14996300
