TILENAME,PATH,RA_CENT,DEC_CENT
DES0956-2915,DEC_Taiga/multiepoch/delve/r6050/DES0956-2915/p02/coadd,149.01574500,-29.25281500
DES1255-4706,DEC_Taiga/multiepoch/delve/r6050/DES1255-4706/p01/coadd,193.96086300,-47.10003700
DES1355-5040,DEC_Taiga/multiepoch/delve/r6050/DES1355-5040/p01/coadd,208.98383900,-50.66948100
DES1522+0001,DEC_Taiga/multiepoch/delve/r6050/DES1522+0001/p01/coadd,230.53893900,0.01663000
DES1028-2832,DEC_Taiga/multiepoch/delve/r6050/DES1028-2832/p01/coadd,157.16347200,-28.53892600
DES1226-4706,DEC_Taiga/multiepoch/delve/r6050/DES1226-4706/p01/coadd,186.61978900,-47.10003700
DES1248-2332,DEC_Taiga/multiepoch/delve/r6050/DES1248-2332/p01/coadd,192.21731900,-23.54170400
DES1613+0835,DEC_Taiga/multiepoch/delve/r6050/DES1613+0835/p01/coadd,243.49872000,8.58329600
DES1705-1707,DEC_Taiga/multiepoch/delve/r6050/DES1705-1707/p01/coadd,256.36728900,-17.11670400
DES1653-0624,DEC_Taiga/multiepoch/delve/r6050/DES1653-0624/p01/coadd,253.35585400,-6.40837000
DES1310+1126,DEC_Taiga/multiepoch/delve/r6050/DES1310+1126/p01/coadd,197.60231400,11.43885200
DES1302+2208,DEC_Taiga/multiepoch/delve/r6050/DES1302+2208/p01/coadd,195.55546800,22.14718500
DES1714-0541,DEC_Taiga/multiepoch/delve/r6117/DES1714-0541/p01/coadd,258.64865300,-5.69448100
DES1527-3332,DEC_Taiga/multiepoch/delve/r6050/DES1527-3332/p01/coadd,231.88896100,-33.53614800
DES1556+2708,DEC_Taiga/multiepoch/delve/r6050/DES1556+2708/p01/coadd,239.10875500,27.14440700
DES1536-0750,DEC_Taiga/multiepoch/delve/r6050/DES1536-0750/p01/coadd,234.23378500,-7.83614800
DES1636-1332,DEC_Taiga/multiepoch/delve/r6050/DES1636-1332/p01/coadd,249.11551400,-13.54725900
DES1315-3832,DEC_Taiga/multiepoch/delve/r6050/DES1315-3832/p01/coadd,198.82314600,-38.53337000
DES1438+0500,DEC_Taiga/multiepoch/delve/r6050/DES1438+0500/p01/coadd,219.56823200,5.01385200
DES1019-3540,DEC_Taiga/multiepoch/delve/r6050/DES1019-3540/p01/coadd,154.92287800,-35.67781500
DES1352-3040,DEC_Taiga/multiepoch/delve/r6050/DES1352-3040/p02/coadd,208.01784500,-30.68059300
DES1124-4040,DEC_Taiga/multiepoch/delve/r6050/DES1124-4040/p02/coadd,171.02980200,-40.67503700
DES1350-4040,DEC_Taiga/multiepoch/delve/r6050/DES1350-4040/p01/coadd,207.73995100,-40.67503700
DES1535-1041,DEC_Taiga/multiepoch/delve/r6050/DES1535-1041/p02/coadd,233.93402000,-10.69170400
DES1655-1415,DEC_Taiga/multiepoch/delve/r6050/DES1655-1415/p01/coadd,253.83061600,-14.26114800
DES1228-4040,DEC_Taiga/multiepoch/delve/r6050/DES1228-4040/p01/coadd,187.03166200,-40.67503700
DES1717-1041,DEC_Taiga/multiepoch/delve/r6050/DES1717-1041/p01/coadd,259.36155900,-10.69170400
DES1241-1250,DEC_Taiga/multiepoch/delve/r6050/DES1241-1250/p01/coadd,190.29914900,-12.83337000
