TILENAME,PATH,RA_CENT,DEC_CENT
DES0913-1207,DEC_Taiga/multiepoch/delve/r5918/DES0913-1207/p01/coadd,138.429831,-12.119481
DES1034+1917,DEC_Taiga/multiepoch/delve/r5918/DES1034+1917/p01/coadd,158.547703,19.29163
DES0825+0500,DEC_Taiga/multiepoch/delve/r5918/DES0825+0500/p01/coadd,126.406196,5.013852
DES1141+2917,DEC_Taiga/multiepoch/delve/r5918/DES1141+2917/p01/coadd,175.284177,29.286074
DES1024+2043,DEC_Taiga/multiepoch/delve/r5918/DES1024+2043/p01/coadd,156.187996,20.719407
DES0915+0709,DEC_Taiga/multiepoch/delve/r5918/DES0915+0709/p01/coadd,138.762225,7.155519
DES0951+2208,DEC_Taiga/multiepoch/delve/r5918/DES0951+2208/p01/coadd,147.768555,22.147185
DES0828+1500,DEC_Taiga/multiepoch/delve/r5918/DES0828+1500/p01/coadd,127.122018,15.008296
DES1119+1252,DEC_Taiga/multiepoch/delve/r5918/DES1119+1252/p01/coadd,169.831968,12.86663
DES0946+2917,DEC_Taiga/multiepoch/delve/r5918/DES0946+2917/p01/coadd,146.636552,29.286074
DES1137+1917,DEC_Taiga/multiepoch/delve/r5918/DES1137+1917/p01/coadd,174.431246,19.29163
DES0836+2000,DEC_Taiga/multiepoch/delve/r5918/DES0836+2000/p01/coadd,129.244323,20.005519
DES0959+0418,DEC_Taiga/multiepoch/delve/r5918/DES0959+0418/p01/coadd,149.81657,4.299963
DES1104-1415,DEC_Taiga/multiepoch/delve/r5918/DES1104-1415/p01/coadd,166.176619,-14.261148
DES0910+0626,DEC_Taiga/multiepoch/delve/r5918/DES0910+0626/p01/coadd,137.711661,6.44163
DES0959+1834,DEC_Taiga/multiepoch/delve/r5918/DES0959+1834/p01/coadd,149.97757,18.577741
DES1105+1500,DEC_Taiga/multiepoch/delve/r5918/DES1105+1500/p01/coadd,166.294369,15.008296
DES0852-0333,DEC_Taiga/multiepoch/delve/r5918/DES0852-0333/p02/coadd,133.155412,-3.552815
DES1144+0917,DEC_Taiga/multiepoch/delve/r5918/DES1144+0917/p02/coadd,176.144436,9.297185
DES0857-1041,DEC_Taiga/multiepoch/delve/r5918/DES0857-1041/p01/coadd,134.403369,-10.691704
DES0919+0752,DEC_Taiga/multiepoch/delve/r5918/DES0919+0752/p01/coadd,139.850876,7.869407
