TILENAME,PATH
b'DES1044+0543',b'DEC/multiepoch/delve/r5918/DES1044+0543/p01/coadd'
b'DES0807+1543',b'DEC/multiepoch/delve/r5918/DES0807+1543/p01/coadd'
b'DES0940+1709',b'DEC/multiepoch/delve/r5918/DES0940+1709/p01/coadd'
b'DES1128+0835',b'DEC/multiepoch/delve/r5918/DES1128+0835/p01/coadd'
b'DES1006+1543',b'DEC/multiepoch/delve/r5918/DES1006+1543/p01/coadd'
b'DES0916+2543',b'DEC/multiepoch/delve/r5918/DES0916+2543/p01/coadd'
b'DES1029-0707',b'DEC/multiepoch/delve/r5918/DES1029-0707/p01/coadd'
b'DES0829+0543',b'DEC/multiepoch/delve/r5918/DES0829+0543/p01/coadd'
b'DES0931+2126',b'DEC/multiepoch/delve/r5918/DES0931+2126/p01/coadd'
b'DES1149-1915',b'DEC/multiepoch/delve/r5918/DES1149-1915/p01/coadd'
b'DES1124+2834',b'DEC/multiepoch/delve/r5918/DES1124+2834/p01/coadd'
b'DES1052-0333',b'DEC/multiepoch/delve/r5918/DES1052-0333/p01/coadd'
b'DES0700+2126',b'DEC/multiepoch/delve/r5918/DES0700+2126/p01/coadd'
b'DES1115-0541',b'DEC/multiepoch/delve/r5918/DES1115-0541/p01/coadd'
b'DES1032-0915',b'DEC/multiepoch/delve/r5918/DES1032-0915/p01/coadd'
b'DES0839+1917',b'DEC/multiepoch/delve/r5918/DES0839+1917/p01/coadd'
b'DES0843-1458',b'DEC/multiepoch/delve/r5918/DES0843-1458/p01/coadd'
b'DES0807+0917',b'DEC/multiepoch/delve/r5918/DES0807+0917/p01/coadd'
b'DES1008+0752',b'DEC/multiepoch/delve/r5918/DES1008+0752/p01/coadd'
b'DES1038-1541',b'DEC/multiepoch/delve/r5918/DES1038-1541/p01/coadd'
b'DES1134+1126',b'DEC/multiepoch/delve/r5918/DES1134+1126/p01/coadd'
b'DES0814+1252',b'DEC/multiepoch/delve/r5918/DES0814+1252/p01/coadd'
b'DES1040-1915',b'DEC/multiepoch/delve/r5918/DES1040-1915/p01/coadd'
b'DES1116-1415',b'DEC/multiepoch/delve/r5918/DES1116-1415/p01/coadd'
b'DES0915-0958',b'DEC/multiepoch/delve/r5918/DES0915-0958/p01/coadd'
b'DES0758+2251',b'DEC/multiepoch/delve/r5918/DES0758+2251/p01/coadd'
b'DES0844+2834',b'DEC/multiepoch/delve/r5918/DES0844+2834/p01/coadd'
b'DES1155-1541',b'DEC/multiepoch/delve/r5918/DES1155-1541/p01/coadd'
b'DES1151-2124',b'DEC/multiepoch/delve/r5918/DES1151-2124/p02/coadd'
b'DES1137-1915',b'DEC/multiepoch/delve/r5918/DES1137-1915/p01/coadd'
b'DES1156+0126',b'DEC/multiepoch/delve/r5918/DES1156+0126/p01/coadd'
b'DES1009-1124',b'DEC/multiepoch/delve/r5918/DES1009-1124/p01/coadd'
b'DES0853-0624',b'DEC/multiepoch/delve/r5918/DES0853-0624/p02/coadd'
b'DES1135+0917',b'DEC/multiepoch/delve/r5918/DES1135+0917/p01/coadd'
b'DES0831-1415',b'DEC/multiepoch/delve/r5918/DES0831-1415/p01/coadd'
b'DES1054+2751',b'DEC/multiepoch/delve/r5918/DES1054+2751/p01/coadd'
b'DES0849-2041',b'DEC/multiepoch/delve/r5918/DES0849-2041/p01/coadd'
b'DES1044-2124',b'DEC/multiepoch/delve/r5918/DES1044-2124/p01/coadd'
b'DES1042+2917',b'DEC/multiepoch/delve/r5918/DES1042+2917/p01/coadd'
b'DES1042+1043',b'DEC/multiepoch/delve/r5918/DES1042+1043/p01/coadd'
b'DES1132-0958',b'DEC/multiepoch/delve/r5918/DES1132-0958/p01/coadd'
b'DES0749+0335',b'DEC/multiepoch/delve/r5918/DES0749+0335/p01/coadd'
b'DES0843+1334',b'DEC/multiepoch/delve/r5918/DES0843+1334/p02/coadd'
b'DES1101-1415',b'DEC/multiepoch/delve/r5918/DES1101-1415/p01/coadd'
b'DES0922-1250',b'DEC/multiepoch/delve/r5918/DES0922-1250/p01/coadd'
b'DES0735+1417',b'DEC/multiepoch/delve/r5918/DES0735+1417/p01/coadd'
b'DES1122-0416',b'DEC/multiepoch/delve/r5918/DES1122-0416/p01/coadd'
b'DES0847+1209',b'DEC/multiepoch/delve/r5918/DES0847+1209/p01/coadd'
b'DES1109-0333',b'DEC/multiepoch/delve/r5918/DES1109-0333/p01/coadd'
b'DES0942-0416',b'DEC/multiepoch/delve/r5918/DES0942-0416/p01/coadd'
b'DES1010-1749',b'DEC/multiepoch/delve/r5918/DES1010-1749/p01/coadd'
b'DES0913-0750',b'DEC/multiepoch/delve/r5918/DES0913-0750/p01/coadd'
b'DES0936-1624',b'DEC/multiepoch/delve/r5918/DES0936-1624/p01/coadd'
b'DES1104+2708',b'DEC/multiepoch/delve/r5918/DES1104+2708/p01/coadd'
b'DES0808+0001',b'DEC/multiepoch/delve/r5918/DES0808+0001/p01/coadd'
b'DES0656+2500',b'DEC/multiepoch/delve/r5918/DES0656+2500/p01/coadd'
b'DES1037-0958',b'DEC/multiepoch/delve/r5918/DES1037-0958/p01/coadd'
b'DES1125-1207',b'DEC/multiepoch/delve/r5918/DES1125-1207/p01/coadd'
b'DES1056-1832',b'DEC/multiepoch/delve/r5918/DES1056-1832/p01/coadd'
b'DES1107+2751',b'DEC/multiepoch/delve/r5918/DES1107+2751/p01/coadd'
b'DES0843+2708',b'DEC/multiepoch/delve/r5918/DES0843+2708/p01/coadd'
b'DES1110+2625',b'DEC/multiepoch/delve/r5918/DES1110+2625/p01/coadd'
b'DES1035-0333',b'DEC/multiepoch/delve/r5918/DES1035-0333/p01/coadd'
b'DES0810+1543',b'DEC/multiepoch/delve/r5918/DES0810+1543/p02/coadd'
b'DES0704+2834',b'DEC/multiepoch/delve/r5918/DES0704+2834/p01/coadd'
b'DES1149+1917',b'DEC/multiepoch/delve/r5918/DES1149+1917/p01/coadd'
b'DES0958+2126',b'DEC/multiepoch/delve/r5918/DES0958+2126/p01/coadd'
b'DES0754-0707',b'DEC/multiepoch/delve/r5918/DES0754-0707/p01/coadd'
b'DES0944+2208',b'DEC/multiepoch/delve/r5918/DES0944+2208/p01/coadd'
b'DES1135+0252',b'DEC/multiepoch/delve/r5918/DES1135+0252/p01/coadd'
b'DES1136+1252',b'DEC/multiepoch/delve/r5918/DES1136+1252/p01/coadd'
