TILENAME,PATH,RA_CENT,DEC_CENT,SHEARCAT_PATH,TAG 
DES0939-1415,DEC_Taiga/multiepoch/delve/r5918/DES0939-1415/p01/coadd,144.81556,-14.261148,2,DR3_1_1_original
DES1127+1626,DEC_Taiga/multiepoch/delve/r5918/DES1127+1626/p01/coadd,171.785008,16.436074,2,DR3_1_1_original
DES1039+2543,DEC_Taiga/multiepoch/delve/r5918/DES1039+2543/p02/coadd,159.84322,25.71663,2,DR3_1_1_original
DES0954+1626,DEC_Taiga/multiepoch/delve/r5918/DES0954+1626/p01/coadd,148.711576,16.436074,2,DR3_1_1_original
DES0956+2834,DEC_Taiga/multiepoch/delve/r5918/DES0956+2834/p01/coadd,149.111293,28.572185,2,DR3_1_1_original
DES0824+0752,DEC_Taiga/multiepoch/delve/r5918/DES0824+0752/p01/coadd,126.158036,7.869407,2,DR3_1_1_original
DES1142+0126,DEC_Taiga/multiepoch/delve/r5918/DES1142+0126/p01/coadd,175.652307,1.444407,2,DR3_1_1_original
DES0802+2126,DEC_Taiga/multiepoch/delve/r6101/DES0802+2126/p01/coadd,120.536465,21.433296,2,DR3_1_1_original
DES0837-1458,DEC_Taiga/multiepoch/delve/r5918/DES0837-1458/p01/coadd,129.30593,-14.975037,2,DR3_1_1_original
DES1032+1252,DEC_Taiga/multiepoch/delve/r5918/DES1032+1252/p01/coadd,158.115557,12.86663,2,DR3_1_1_original
DES0913-1207,DEC_Taiga/multiepoch/delve/r5918/DES0913-1207/p01/coadd,138.429831,-12.119481,2,DR3_1_1_original
DES1034+1917,DEC_Taiga/multiepoch/delve/r5918/DES1034+1917/p01/coadd,158.547703,19.29163,2,DR3_1_1_original
DES0825+0500,DEC_Taiga/multiepoch/delve/r5918/DES0825+0500/p01/coadd,126.406196,5.013852,2,DR3_1_1_original
DES1141+2917,DEC_Taiga/multiepoch/delve/r5918/DES1141+2917/p01/coadd,175.284177,29.286074,2,DR3_1_1_original
DES1024+2043,DEC_Taiga/multiepoch/delve/r5918/DES1024+2043/p01/coadd,156.187996,20.719407,2,DR3_1_1_original
DES0915+0709,DEC_Taiga/multiepoch/delve/r5918/DES0915+0709/p01/coadd,138.762225,7.155519,2,DR3_1_1_original
DES0951+2208,DEC_Taiga/multiepoch/delve/r5918/DES0951+2208/p01/coadd,147.768555,22.147185,2,DR3_1_1_original
DES0828+1500,DEC_Taiga/multiepoch/delve/r5918/DES0828+1500/p01/coadd,127.122018,15.008296,2,DR3_1_1_original
DES1119+1252,DEC_Taiga/multiepoch/delve/r5918/DES1119+1252/p01/coadd,169.831968,12.86663,2,DR3_1_1_original
DES0946+2917,DEC_Taiga/multiepoch/delve/r5918/DES0946+2917/p01/coadd,146.636552,29.286074,2,DR3_1_1_original
DES1137+1917,DEC_Taiga/multiepoch/delve/r5918/DES1137+1917/p01/coadd,174.431246,19.29163,2,DR3_1_1_original
DES0836+2000,DEC_Taiga/multiepoch/delve/r5918/DES0836+2000/p01/coadd,129.244323,20.005519,2,DR3_1_1_original
DES0959+0418,DEC_Taiga/multiepoch/delve/r5918/DES0959+0418/p01/coadd,149.81657,4.299963,2,DR3_1_1_original
DES1104-1415,DEC_Taiga/multiepoch/delve/r5918/DES1104-1415/p01/coadd,166.176619,-14.261148,2,DR3_1_1_original
DES0910+0626,DEC_Taiga/multiepoch/delve/r5918/DES0910+0626/p01/coadd,137.711661,6.44163,2,DR3_1_1_original
DES0959+1834,DEC_Taiga/multiepoch/delve/r5918/DES0959+1834/p01/coadd,149.97757,18.577741,2,DR3_1_1_original
DES1105+1500,DEC_Taiga/multiepoch/delve/r5918/DES1105+1500/p01/coadd,166.294369,15.008296,2,DR3_1_1_original
DES0852-0333,DEC_Taiga/multiepoch/delve/r5918/DES0852-0333/p02/coadd,133.155412,-3.552815,2,DR3_1_1_original
DES1144+0917,DEC_Taiga/multiepoch/delve/r5918/DES1144+0917/p02/coadd,176.144436,9.297185,2,DR3_1_1_original
DES0857-1041,DEC_Taiga/multiepoch/delve/r5918/DES0857-1041/p01/coadd,134.403369,-10.691704,2,DR3_1_1_original
DES0919+0752,DEC_Taiga/multiepoch/delve/r5918/DES0919+0752/p01/coadd,139.850876,7.869407,2,DR3_1_1_original
DES1125+1252,DEC_Taiga/multiepoch/delve/r5918/DES1125+1252/p01/coadd,171.296519,12.86663,2,DR3_1_1_original
DES0926+2043,DEC_Taiga/multiepoch/delve/r5918/DES0926+2043/p01/coadd,141.686188,20.719407,2,DR3_1_1_original
DES0950+1834,DEC_Taiga/multiepoch/delve/r5918/DES0950+1834/p01/coadd,147.718171,18.577741,2,DR3_1_1_original
DES0902-1124,DEC_Taiga/multiepoch/delve/r5918/DES0902-1124/p01/coadd,135.666082,-11.405593,2,DR3_1_1_original
DES1009-1541,DEC_Taiga/multiepoch/delve/r5918/DES1009-1541/p01/coadd,152.284712,-15.688926,2,DR3_1_1_original
DES0920+1834,DEC_Taiga/multiepoch/delve/r5918/DES0920+1834/p01/coadd,140.18684,18.577741,2,DR3_1_1_original
DES1058-0541,DEC_Taiga/multiepoch/delve/r5918/DES1058-0541/p01/coadd,164.66542,-5.694481,2,DR3_1_1_original
DES0841+1751,DEC_Taiga/multiepoch/delve/r5918/DES0841+1751/p01/coadd,130.264494,17.863852,2,DR3_1_1_original
DES1121-1832,DEC_Taiga/multiepoch/delve/r5918/DES1121-1832/p01/coadd,170.262294,-18.544481,2,DR3_1_1_original
DES1120-0250,DEC_Taiga/multiepoch/delve/r5918/DES1120-0250/p01/coadd,170.171529,-2.838926,2,DR3_1_1_original
DES0818+2917,DEC_Taiga/multiepoch/delve/r5918/DES0818+2917/p02/coadd,124.536955,29.286074,2,DR3_1_1_original
DES0823+1834,DEC_Taiga/multiepoch/delve/r5918/DES0823+1834/p01/coadd,125.877311,18.577741,2,DR3_1_1_original
DES1017-0915,DEC_Taiga/multiepoch/delve/r5918/DES1017-0915/p01/coadd,154.419924,-9.263926,2,DR3_1_1_original
DES1105+1043,DEC_Taiga/multiepoch/delve/r5918/DES1105+1043/p01/coadd,166.397074,10.724963,2,DR3_1_1_original
DES0956+0126,DEC_Taiga/multiepoch/delve/r5918/DES0956+0126/p01/coadd,149.230022,1.444407,2,DR3_1_1_original
DES1012+1543,DEC_Taiga/multiepoch/delve/r5918/DES1012+1543/p01/coadd,153.065168,15.722185,2,DR3_1_1_original
DES1146-0958,DEC_Taiga/multiepoch/delve/r5918/DES1146-0958/p02/coadd,176.671702,-9.977815,2,DR3_1_1_original
DES0803+0835,DEC_Taiga/multiepoch/delve/r5918/DES0803+0835/p01/coadd,120.762948,8.583296,2,DR3_1_1_original
DES0817-0707,DEC_Taiga/multiepoch/delve/r5918/DES0817-0707/p02/coadd,124.357119,-7.122259,2,DR3_1_1_original
DES0831+1543,DEC_Taiga/multiepoch/delve/r5918/DES0831+1543/p01/coadd,127.849547,15.722185,2,DR3_1_1_original
DES0958+2543,DEC_Taiga/multiepoch/delve/r5918/DES0958+2543/p01/coadd,149.542374,25.71663,2,DR3_1_1_original
DES0935+0709,DEC_Taiga/multiepoch/delve/r5918/DES0935+0709/p01/coadd,143.798673,7.155519,2,DR3_1_1_original
DES1016-0041,DEC_Taiga/multiepoch/delve/r5918/DES1016-0041/p01/coadd,154.170523,-0.697259,2,DR3_1_1_original
DES0716+2417,DEC_Taiga/multiepoch/delve/r5918/DES0716+2417/p01/coadd,109.237818,24.288852,2,DR3_1_1_original
DES0823-1832,DEC_Taiga/multiepoch/delve/r5918/DES0823-1832/p02/coadd,125.83612,-18.544481,2,DR3_1_1_original
DES0828-0833,DEC_Taiga/multiepoch/delve/r5918/DES0828-0833/p01/coadd,127.242123,-8.550037,2,DR3_1_1_original
DES0929-0333,DEC_Taiga/multiepoch/delve/r5918/DES0929-0333/p01/coadd,142.453838,-3.552815,2,DR3_1_1_original
DES1111+0126,DEC_Taiga/multiepoch/delve/r5918/DES1111+0126/p01/coadd,167.797033,1.444407,2,DR3_1_1_original
DES1139+2000,DEC_Taiga/multiepoch/delve/r5918/DES1139+2000/p01/coadd,174.828213,20.005519,2,DR3_1_1_original
DES1031-0958,DEC_Taiga/multiepoch/delve/r5918/DES1031-0958/p01/coadd,157.825544,-9.977815,2,DR3_1_1_original
DES0856+2043,DEC_Taiga/multiepoch/delve/r5918/DES0856+2043/p02/coadd,134.053658,20.719407,2,DR3_1_1_original
DES1014-0250,DEC_Taiga/multiepoch/delve/r5918/DES1014-0250/p01/coadd,153.731909,-2.838926,2,DR3_1_1_original
DES1118+0709,DEC_Taiga/multiepoch/delve/r5918/DES1118+0709/p01/coadd,169.700406,7.155519,2,DR3_1_1_original
DES0816-1415,DEC_Taiga/multiepoch/delve/r5918/DES0816-1415/p02/coadd,124.19109,-14.261148,2,DR3_1_1_original
DES1003-1250,DEC_Taiga/multiepoch/delve/r5918/DES1003-1250/p01/coadd,150.761511,-12.83337,2,DR3_1_1_original
DES0930+0418,DEC_Taiga/multiepoch/delve/r5918/DES0930+0418/p01/coadd,142.657529,4.299963,2,DR3_1_1_original
DES1141+0335,DEC_Taiga/multiepoch/delve/r5918/DES1141+0335/p01/coadd,175.365409,3.586074,2,DR3_1_1_original
DES0657+2708,DEC_Taiga/multiepoch/delve/r5918/DES0657+2708/p01/coadd,104.330874,27.144407,2,DR3_1_1_original
DES0742+2043,DEC_Taiga/multiepoch/delve/r5918/DES0742+2043/p02/coadd,115.735585,20.719407,2,DR3_1_1_original
DES1024+2208,DEC_Taiga/multiepoch/delve/r5918/DES1024+2208/p01/coadd,156.246878,22.147185,2,DR3_1_1_original
DES0950-2206,DEC_Taiga/multiepoch/delve/r5918/DES0950-2206/p01/coadd,147.713489,-22.113926,2,DR3_1_1_original
DES1017+1834,DEC_Taiga/multiepoch/delve/r5918/DES1017+1834/p01/coadd,154.496369,18.577741,2,DR3_1_1_original
DES1016-0958,DEC_Taiga/multiepoch/delve/r5918/DES1016-0958/p01/coadd,154.201282,-9.977815,2,DR3_1_1_original
DES0905-0624,DEC_Taiga/multiepoch/delve/r5918/DES0905-0624/p01/coadd,136.260316,-6.40837,2,DR3_1_1_original
DES1045+0626,DEC_Taiga/multiepoch/delve/r5918/DES1045+0626/p01/coadd,161.419673,6.44163,2,DR3_1_1_original
DES1016+2334,DEC_Taiga/multiepoch/delve/r6101/DES1016+2334/p01/coadd,154.121658,23.574963,2,DR3_1_1_original
DES1149+1043,DEC_Taiga/multiepoch/delve/r5918/DES1149+1043/p01/coadd,177.295789,10.724963,2,DR3_1_1_original
DES1035+1126,DEC_Taiga/multiepoch/delve/r6101/DES1035+1126/p02/coadd,158.999426,11.438852,2,DR3_1_1_original
DES0846-0707,DEC_Taiga/multiepoch/delve/r5918/DES0846-0707/p01/coadd,131.55152,-7.122259,2,DR3_1_1_original
DES0915+2251,DEC_Taiga/multiepoch/delve/r5918/DES0915+2251/p01/coadd,138.901547,22.861074,2,DR3_1_1_original
DES0933+1417,DEC_Taiga/multiepoch/delve/r5918/DES0933+1417/p01/coadd,143.376193,14.294407,2,DR3_1_1_original
DES1015+0543,DEC_Taiga/multiepoch/delve/r5918/DES1015+0543/p01/coadd,153.917882,5.727741,2,DR3_1_1_original
DES0816+2417,DEC_Taiga/multiepoch/delve/r5918/DES0816+2417/p02/coadd,124.118938,24.288852,2,DR3_1_1_original
DES0856-2041,DEC_Taiga/multiepoch/delve/r5918/DES0856-2041/p01/coadd,134.005501,-20.686148,2,DR3_1_1_original
DES1149-2415,DEC_Taiga/multiepoch/delve/r5918/DES1149-2415/p01/coadd,177.308859,-24.255593,2,DR3_1_1_original
DES0936+1417,DEC_Taiga/multiepoch/delve/r5918/DES0936+1417/p01/coadd,144.11289,14.294407,2,DR3_1_1_original
DES0949-1124,DEC_Taiga/multiepoch/delve/r5918/DES0949-1124/p01/coadd,147.318415,-11.405593,2,DR3_1_1_original
DES0950+2751,DEC_Taiga/multiepoch/delve/r5918/DES0950+2751/p01/coadd,147.551424,27.858296,2,DR3_1_1_original
