TILENAME,PATH
DES0946+2251, DEC_Taiga/multiepoch/delve/r6101/DES0946+2251/p01/coadd
DES1123-1958, DEC_Taiga/multiepoch/delve/r6101/DES1123-1958/p01/coadd
DES0806+2000, DEC_Taiga/multiepoch/delve/r6101/DES0806+2000/p01/coadd
DES1101+1334, DEC_Taiga/multiepoch/delve/r6101/DES1101+1334/p01/coadd
DES1003+1626, DEC_Taiga/multiepoch/delve/r6101/DES1003+1626/p01/coadd
DES0802+1834, DEC_Taiga/multiepoch/delve/r6101/DES0802+1834/p01/coadd
DES1125+0209, DEC_Taiga/multiepoch/delve/r6101/DES1125+0209/p01/coadd
DES1055+2917, DEC_Taiga/multiepoch/delve/r6101/DES1055+2917/p01/coadd
DES1057+2126, DEC_Taiga/multiepoch/delve/r6101/DES1057+2126/p01/coadd
DES0902-0915, DEC_Taiga/multiepoch/delve/r6101/DES0902-0915/p01/coadd
DES0822+1500, DEC_Taiga/multiepoch/delve/r6101/DES0822+1500/p01/coadd
DES0957+1917, DEC_Taiga/multiepoch/delve/r6101/DES0957+1917/p01/coadd
DES1009-2206, DEC_Taiga/multiepoch/delve/r6101/DES1009-2206/p01/coadd
DES1040+0209, DEC_Taiga/multiepoch/delve/r6101/DES1040+0209/p01/coadd
DES0914-1124, DEC_Taiga/multiepoch/delve/r6101/DES0914-1124/p01/coadd
DES1135-0707, DEC_Taiga/multiepoch/delve/r6101/DES1135-0707/p02/coadd
DES1030-2415, DEC_Taiga/multiepoch/delve/r6101/DES1030-2415/p01/coadd
DES0906-1458, DEC_Taiga/multiepoch/delve/r6101/DES0906-1458/p01/coadd
DES0955-0541, DEC_Taiga/multiepoch/delve/r6101/DES0955-0541/p01/coadd
DES0853-0416, DEC_Taiga/multiepoch/delve/r6101/DES0853-0416/p01/coadd
DES0805+1917, DEC_Taiga/multiepoch/delve/r6101/DES0805+1917/p01/coadd
DES1032+1417, DEC_Taiga/multiepoch/delve/r6101/DES1032+1417/p01/coadd
DES0852-0541, DEC_Taiga/multiepoch/delve/r6101/DES0852-0541/p01/coadd
DES1014-2249, DEC_Taiga/multiepoch/delve/r6101/DES1014-2249/p01/coadd
DES0955-0333, DEC_Taiga/multiepoch/delve/r6101/DES0955-0333/p01/coadd
DES1149+0500, DEC_Taiga/multiepoch/delve/r6101/DES1149+0500/p02/coadd
DES0858-1749, DEC_Taiga/multiepoch/delve/r6101/DES0858-1749/p01/coadd
DES1132-0915, DEC_Taiga/multiepoch/delve/r6101/DES1132-0915/p01/coadd
DES1140-1415, DEC_Taiga/multiepoch/delve/r6101/DES1140-1415/p01/coadd
DES0939+0418, DEC_Taiga/multiepoch/delve/r6101/DES0939+0418/p01/coadd
DES0955-1707, DEC_Taiga/multiepoch/delve/r6101/DES0955-1707/p01/coadd
DES1129-0458, DEC_Taiga/multiepoch/delve/r6101/DES1129-0458/p01/coadd
DES1008+0500, DEC_Taiga/multiepoch/delve/r6101/DES1008+0500/p01/coadd
DES1022+0126, DEC_Taiga/multiepoch/delve/r6101/DES1022+0126/p01/coadd
DES1019-0416, DEC_Taiga/multiepoch/delve/r6101/DES1019-0416/p01/coadd
DES1157+2917, DEC_Taiga/multiepoch/delve/r6101/DES1157+2917/p02/coadd
DES0919+1626, DEC_Taiga/multiepoch/delve/r6101/DES0919+1626/p01/coadd
DES1035+1126, DEC_Taiga/multiepoch/delve/r6101/DES1035+1126/p02/coadd
DES0748+0500, DEC_Taiga/multiepoch/delve/r6101/DES0748+0500/p01/coadd
DES0952+1043, DEC_Taiga/multiepoch/delve/r6101/DES0952+1043/p01/coadd
DES1053-0041, DEC_Taiga/multiepoch/delve/r6101/DES1053-0041/p01/coadd
DES1059+0001, DEC_Taiga/multiepoch/delve/r6101/DES1059+0001/p01/coadd
DES1152+0500, DEC_Taiga/multiepoch/delve/r6101/DES1152+0500/p02/coadd
DES1137-1415, DEC_Taiga/multiepoch/delve/r6101/DES1137-1415/p01/coadd
DES0704+2208, DEC_Taiga/multiepoch/delve/r6101/DES0704+2208/p01/coadd
DES0858-0541, DEC_Taiga/multiepoch/delve/r6101/DES0858-0541/p01/coadd
DES1024-0833, DEC_Taiga/multiepoch/delve/r6101/DES1024-0833/p01/coadd
DES0710+2208, DEC_Taiga/multiepoch/delve/r6101/DES0710+2208/p01/coadd
DES1016+2334, DEC_Taiga/multiepoch/delve/r6101/DES1016+2334/p01/coadd
DES1011+0500, DEC_Taiga/multiepoch/delve/r6101/DES1011+0500/p01/coadd
DES0908-1124, DEC_Taiga/multiepoch/delve/r6101/DES0908-1124/p01/coadd
DES1042-0416, DEC_Taiga/multiepoch/delve/r6101/DES1042-0416/p01/coadd
DES0758+2251, DEC_Taiga/multiepoch/delve/r6101/DES0758+2251/p01/coadd
DES0832+1000, DEC_Taiga/multiepoch/delve/r6101/DES0832+1000/p01/coadd
DES0924+0543, DEC_Taiga/multiepoch/delve/r6101/DES0924+0543/p01/coadd
DES1005+2000, DEC_Taiga/multiepoch/delve/r6101/DES1005+2000/p01/coadd
DES1036+1043, DEC_Taiga/multiepoch/delve/r6101/DES1036+1043/p01/coadd
DES1009-2415, DEC_Taiga/multiepoch/delve/r6101/DES1009-2415/p01/coadd
DES0851-0458, DEC_Taiga/multiepoch/delve/r6101/DES0851-0458/p01/coadd
DES1122-0124, DEC_Taiga/multiepoch/delve/r6101/DES1122-0124/p01/coadd
DES0834+0835, DEC_Taiga/multiepoch/delve/r6101/DES0834+0835/p01/coadd
DES0905-1124, DEC_Taiga/multiepoch/delve/r6101/DES0905-1124/p01/coadd
DES0922-1707, DEC_Taiga/multiepoch/delve/r6101/DES0922-1707/p01/coadd
