TILENAME,PATH,RA_CENT,DEC_CENT 
DES1301+1252,DEC_Taiga/multiepoch/delve/r6117/DES1301+1252/p01/coadd,195.461616,12.86663
DES1442-2706,DEC_Taiga/multiepoch/delve/r6050/DES1442-2706/p01/coadd,220.565929,-27.111148
DES1226-2541,DEC_Taiga/multiepoch/delve/r6050/DES1226-2541/p01/coadd,186.707807,-25.68337
DES1610+1043,DEC_Taiga/multiepoch/delve/r6117/DES1610+1043/p01/coadd,242.688082,10.724963
DES1000-3623,DEC_Taiga/multiepoch/delve/r6050/DES1000-3623/p01/coadd,150.012756,-36.391704
DES1146-3415,DEC_Taiga/multiepoch/delve/r6050/DES1146-3415/p01/coadd,176.687699,-34.250037
DES1510-2458,DEC_Taiga/multiepoch/delve/r6050/DES1510-2458/p01/coadd,227.634965,-24.969481
DES1547-3206,DEC_Taiga/multiepoch/delve/r6050/DES1547-3206/p01/coadd,236.949499,-32.10837
DES1221-2749,DEC_Taiga/multiepoch/delve/r6050/DES1221-2749/p01/coadd,185.419412,-27.825037
DES1233-3123,DEC_Taiga/multiepoch/delve/r6050/DES1233-3123/p01/coadd,188.478614,-31.394481
DES1350-4706,DEC_Taiga/multiepoch/delve/r6050/DES1350-4706/p01/coadd,207.594286,-47.100037
DES1631-2958,DEC_Taiga/multiepoch/delve/r6050/DES1631-2958/p01/coadd,247.916741,-29.966704
DES1207-2541,DEC_Taiga/multiepoch/delve/r6050/DES1207-2541/p01/coadd,181.954901,-25.68337
DES1217-2541,DEC_Taiga/multiepoch/delve/r6050/DES1217-2541/p01/coadd,184.331354,-25.68337
DES1209-4957,DEC_Taiga/multiepoch/delve/r6050/DES1209-4957/p01/coadd,182.410894,-49.955593
DES1033-3123,DEC_Taiga/multiepoch/delve/r6050/DES1033-3123/p01/coadd,158.370881,-31.394481
DES1130-3123,DEC_Taiga/multiepoch/delve/r6050/DES1130-3123/p01/coadd,172.588421,-31.394481
DES1335-3040,DEC_Taiga/multiepoch/delve/r6050/DES1335-3040/p01/coadd,203.867451,-30.680593
DES1230-3249,DEC_Taiga/multiepoch/delve/r6050/DES1230-3249/p01/coadd,187.691871,-32.822259
DES1143-4249,DEC_Taiga/multiepoch/delve/r6050/DES1143-4249/p01/coadd,175.823262,-42.816704
DES1213-3123,DEC_Taiga/multiepoch/delve/r6050/DES1213-3123/p01/coadd,183.460658,-31.394481
DES1354-3749,DEC_Taiga/multiepoch/delve/r6050/DES1354-3749/p01/coadd,208.70823,-37.819481
DES1413-4540,DEC_Taiga/multiepoch/delve/r6050/DES1413-4540/p01/coadd,213.321228,-45.672259
DES1453-2749,DEC_Taiga/multiepoch/delve/r6050/DES1453-2749/p01/coadd,223.358846,-27.825037
DES1042-2541,DEC_Taiga/multiepoch/delve/r6117/DES1042-2541/p03/coadd,160.566826,-25.68337
DES1449+1209,DEC_Taiga/multiepoch/delve/r6117/DES1449+1209/p02/coadd,222.437004,12.152741
DES1417-3123,DEC_Taiga/multiepoch/delve/r6050/DES1417-3123/p03/coadd,214.404717,-31.394481
DES1220+0500,DEC_Taiga/multiepoch/delve/r6117/DES1220+0500/p01/coadd,185.169942,5.013852
DES1455-3040,DEC_Taiga/multiepoch/delve/r6050/DES1455-3040/p01/coadd,223.789341,-30.680593
DES1230-2706,DEC_Taiga/multiepoch/delve/r6050/DES1230-2706/p01/coadd,187.68351,-27.111148
DES1155-3457,DEC_Taiga/multiepoch/delve/r6050/DES1155-3457/p01/coadd,178.947331,-34.963926
DES1010-2623,DEC_Taiga/multiepoch/delve/r6050/DES1010-2623/p01/coadd,152.502527,-26.397259
DES1331-3332,DEC_Taiga/multiepoch/delve/r6050/DES1331-3332/p01/coadd,202.769439,-33.536148
DES1526-2458,DEC_Taiga/multiepoch/delve/r6050/DES1526-2458/p01/coadd,231.572433,-24.969481
DES1401-1958,DEC_Taiga/multiepoch/delve/r6117/DES1401-1958/p02/coadd,210.473059,-19.972259
DES1041-3206,DEC_Taiga/multiepoch/delve/r6050/DES1041-3206/p02/coadd,160.254733,-32.10837
DES1130-4623,DEC_Taiga/multiepoch/delve/r6050/DES1130-4623/p01/coadd,172.697363,-46.386148
DES1301-3957,DEC_Taiga/multiepoch/delve/r6050/DES1301-3957/p01/coadd,195.34709,-39.961148
DES1627-2415,DEC_Taiga/multiepoch/delve/r6117/DES1627-2415/p01/coadd,246.996874,-24.255593
DES1726-1041,DEC_Taiga/multiepoch/delve/r6117/DES1726-1041/p01/coadd,261.541062,-10.691704
DES1004-2541,DEC_Taiga/multiepoch/delve/r6050/DES1004-2541/p01/coadd,151.061015,-25.68337
DES1031-3249,DEC_Taiga/multiepoch/delve/r6050/DES1031-3249/p01/coadd,157.959117,-32.822259
DES1313+1334,DEC_Taiga/multiepoch/delve/r6117/DES1313+1334/p01/coadd,198.48724,13.580519
DES1330-2958,DEC_Taiga/multiepoch/delve/r6117/DES1330-2958/p01/coadd,202.593923,-29.966704
DES1426-2458,DEC_Taiga/multiepoch/delve/r6050/DES1426-2458/p02/coadd,216.610056,-24.969481
DES1737-0750,DEC_Taiga/multiepoch/delve/r6117/DES1737-0750/p01/coadd,264.499739,-7.836148
DES1032-4540,DEC_Taiga/multiepoch/delve/r6050/DES1032-4540/p01/coadd,158.152243,-45.672259
DES1305-2623,DEC_Taiga/multiepoch/delve/r6050/DES1305-2623/p01/coadd,196.336878,-26.397259
DES1550+2834,DEC_Taiga/multiepoch/delve/r6117/DES1550+2834/p01/coadd,237.715898,28.572185
DES1417-4331,DEC_Taiga/multiepoch/delve/r6050/DES1417-4331/p01/coadd,214.338085,-43.530593
DES1520-2706,DEC_Taiga/multiepoch/delve/r6050/DES1520-2706/p01/coadd,230.190051,-27.111148
DES1308-3623,DEC_Taiga/multiepoch/delve/r6050/DES1308-3623/p01/coadd,197.015299,-36.391704
DES1401-2541,DEC_Taiga/multiepoch/delve/r6050/DES1401-2541/p01/coadd,210.472334,-25.68337
DES1320-4957,DEC_Taiga/multiepoch/delve/r6050/DES1320-4957/p01/coadd,200.16431,-49.955593
DES1410-3832,DEC_Taiga/multiepoch/delve/r6050/DES1410-3832/p01/coadd,212.512363,-38.53337
DES1427+1543,DEC_Taiga/multiepoch/delve/r6117/DES1427+1543/p01/coadd,216.845858,15.722185
DES1512-2749,DEC_Taiga/multiepoch/delve/r6050/DES1512-2749/p02/coadd,228.202178,-27.825037
DES1210-3415,DEC_Taiga/multiepoch/delve/r6050/DES1210-3415/p01/coadd,182.733289,-34.250037
DES1554-3249,DEC_Taiga/multiepoch/delve/r6050/DES1554-3249/p01/coadd,238.662306,-32.822259
DES1359-3832,DEC_Taiga/multiepoch/delve/r6050/DES1359-3832/p01/coadd,209.77452,-38.53337
DES1109-3249,DEC_Taiga/multiepoch/delve/r6050/DES1109-3249/p01/coadd,167.303697,-32.822259
DES1120-4040,DEC_Taiga/multiepoch/delve/r6050/DES1120-4040/p01/coadd,170.088516,-40.675037
DES1501-2458,DEC_Taiga/multiepoch/delve/r6050/DES1501-2458/p01/coadd,225.272485,-24.969481
DES1302-1415,DEC_Taiga/multiepoch/delve/r6117/DES1302-1415/p01/coadd,195.640147,-14.261148
DES1105-2958,DEC_Taiga/multiepoch/delve/r6050/DES1105-2958/p01/coadd,166.335668,-29.966704
DES1042-3623,DEC_Taiga/multiepoch/delve/r6050/DES1042-3623/p01/coadd,160.654842,-36.391704
DES1104-2749,DEC_Taiga/multiepoch/delve/r6050/DES1104-2749/p01/coadd,166.046084,-27.825037
DES1317-4457,DEC_Taiga/multiepoch/delve/r6050/DES1317-4457/p01/coadd,199.497995,-44.95837
DES1317-2458,DEC_Taiga/multiepoch/delve/r6050/DES1317-2458/p01/coadd,199.285199,-24.969481
DES1247-3540,DEC_Taiga/multiepoch/delve/r6050/DES1247-3540/p01/coadd,191.834083,-35.677815
DES1140-2915,DEC_Taiga/multiepoch/delve/r6050/DES1140-2915/p01/coadd,175.19932,-29.252815
DES1537-3623,DEC_Taiga/multiepoch/delve/r6050/DES1537-3623/p01/coadd,234.262596,-36.391704
DES1137-2915,DEC_Taiga/multiepoch/delve/r6050/DES1137-2915/p02/coadd,174.381083,-29.252815
DES1041-2915,DEC_Taiga/multiepoch/delve/r6050/DES1041-2915/p01/coadd,160.471059,-29.252815
DES1301-4249,DEC_Taiga/multiepoch/delve/r6050/DES1301-4249/p01/coadd,195.287681,-42.816704
